time_s,position_px,label,peak_to_peak_px
10.166666666666666,-4.006598651262607,bottom,6.013065633742258
10.2,0.7233565609877814,top,4.729955212250388
10.266666666666667,-3.506185952655869,bottom,4.229542513643651
10.3,1.1409453261007911,top,4.64713127875666
10.333333333333334,-3.931446887283755,bottom,5.072392213384546
10.4,2.320945581280398,top,6.252392468564153
10.433333333333334,-3.685833687274908,bottom,6.006779268555306
10.466666666666667,2.0726554285575958,top,5.758489115832504
10.5,-3.4037362587947655,bottom,5.476391687352361
10.533333333333333,2.2488484138536933,top,5.652584672648459
10.6,-3.2039947493585714,bottom,5.452843163212265
10.633333333333333,0.2509304952932325,top,3.454925244651804
10.666666666666666,-2.132569213128704,bottom,2.3834997084219367
10.7,2.598109089649597,top,4.730678302778301
10.8,-2.9496811939870895,bottom,5.547790283636687
10.833333333333334,1.832956386634578,top,4.782637580621667
10.9,-3.1703400088606486,bottom,5.0032963954952265
11.0,1.196417979435978,top,4.3667579882966265
11.033333333333333,-3.0983101767952803,bottom,4.294728156231258
11.066666666666666,1.0782172877628682,top,4.1765274645581485
11.1,-1.9089248855117376,bottom,2.9871421732746057
11.133333333333333,1.2870425414503188,top,3.1959674269620564
11.166666666666666,-1.732408293165804,bottom,3.019450834616123
11.2,1.1614800155214198,top,2.893888308687224
11.233333333333333,-1.5139936446112188,bottom,2.6754736601326385
11.266666666666667,0.8993837719531257,top,2.4133774165643445
11.3,-1.480237209344864,bottom,2.3796209812979896
11.333333333333334,1.564540101204102,top,3.044777310548966
11.366666666666667,-1.7955904666530387,bottom,3.3601305678571407
11.4,0.08662597348313739,top,1.882216440136176
11.533333333333333,-2.3094546116033143,bottom,2.3960805850864517
11.566666666666666,1.1803184959746886,top,3.489773107578003
11.6,-2.2708984513121777,bottom,3.4512169472868663
11.7,0.09073001829449368,top,2.3616284696066714
11.8,-1.4317754513314185,bottom,1.5225054696259122
11.866666666666667,0.5695398923589892,top,2.0013153436904076
11.9,-0.767374566835997,bottom,1.3369144591949862
11.933333333333334,1.3720862337519293,top,2.1394608005879263
12.0,-1.6478396378322486,bottom,3.019925871584178
12.033333333333333,0.43003474708234535,top,2.077874384914594
12.1,-1.435757598495229,bottom,1.8657923455775745
12.133333333333333,1.0374056134864986,top,2.4731632119817277
12.166666666666666,-0.8166270114653571,bottom,1.8540326249518557
12.233333333333333,0.722340032741613,top,1.53896704420697
12.266666666666667,-2.3483306894372618,bottom,3.0706707221788747
12.333333333333334,0.5750386312570299,top,2.9233693206942917
12.366666666666667,-1.1407186139128953,bottom,1.7157572451699252
12.533333333333333,0.8533692693656576,top,1.994087883278553
12.6,-0.606826066040071,bottom,1.4601953354057287
12.633333333333333,0.8056974078530175,top,1.4125234738930885
13.166666666666666,-0.8349015484786833,bottom,1.6405989563317007
13.233333333333333,0.5697624388808435,top,1.4046639873595268
13.4,-0.6957764255492975,bottom,1.265538864430141
13.966666666666667,0.5476704909027603,top,1.2434469164520578
15.666666666666666,-3.387351831054957,bottom,3.9350223219577174
15.866666666666667,19.611445808513736,top,22.998797639568693
15.966666666666667,-3.4178934196696673,bottom,23.029339228183403
16.1,2.8499225695113637,top,6.267815989181031
16.2,-3.457864585574953,bottom,6.3077871550863165
16.333333333333332,2.5365201165863027,top,5.9943847021612555
16.466666666666665,-2.461596139174503,bottom,4.998116255760806
16.6,2.5078751265344863,top,4.9694712657089894
16.733333333333334,-2.787002642325774,bottom,5.29487776886026
16.866666666666667,2.418536675387031,top,5.205539317712805
16.966666666666665,-3.0832998275847103,bottom,5.5018365029717415
17.1,2.1816181905264784,top,5.264918018111189
17.2,-2.7849678120130648,bottom,4.966586002539543
17.333333333333332,2.7291205414950355,top,5.5140883535081
17.466666666666665,-3.1052340523140174,bottom,5.834354593809053
17.6,2.7855936270502752,top,5.890827679364293
17.7,-2.586675920226071,bottom,5.372269547276346
17.833333333333332,2.7386824559657725,top,5.3253583761918435
17.966666666666665,-2.414159519070381,bottom,5.152841975036154
18.1,2.9668948818384706,top,5.381054400908852
18.2,-2.6136687299083405,bottom,5.580563611746811
18.333333333333332,2.8948718477249713,top,5.508540577633312
18.4,-2.496048959169798,bottom,5.390920806894769
18.466666666666665,-0.1785943105566048,top,2.317454648613193
18.5,-2.9294083224430096,bottom,2.750814011886405
18.566666666666666,1.6745517817034852,top,4.603960104146495
18.6,-2.7955433139575234,bottom,4.470095095661009
18.633333333333333,3.0048523088519232,top,5.800395622809447
18.7,-2.907913039418304,bottom,5.912765348270227
18.733333333333334,2.140262171586528,top,5.048175211004832
18.766666666666666,-3.1202869852005506,bottom,5.260549156787079
18.833333333333332,0.8956455913959189,top,4.0159325765964695
18.866666666666667,-1.5461551065506,bottom,2.441800697946519
18.9,0.9944415558995843,top,2.5405966624501843
18.966666666666665,-2.8508438884385896,bottom,3.845285444338174
19.0,-0.17889515928754918,top,2.6719487291510404
19.033333333333335,-3.159126135071915,bottom,2.980230975784366
19.1,2.478999192332708,top,5.638125327404623
19.133333333333333,-2.205083613394663,bottom,4.684082805727371
19.166666666666668,-1.0138790951349392,top,1.191204518259724
19.2,-2.5036943336600643,bottom,1.489815238525125
19.266666666666666,0.9557306967070645,top,3.459425030367129
19.3,-3.109430598118024,bottom,4.065161294825089
19.333333333333332,2.701923984987502,top,5.811354583105526
19.366666666666667,-2.849692932904304,bottom,5.551616917891806
19.433333333333334,2.7027056183203513,top,5.552398551224655
19.466666666666665,-3.445472270673008,bottom,6.148177888993359
19.5,1.5237400344792604,top,4.9692123051522685
19.533333333333335,-3.4012037835611864,bottom,4.924943818040447
